CLIENT_REF (v2),Acct,posting date,amount (AED),Amount,CCY*,approval status, REGION  ,REASON_TEXT*,Commentary (v2),,YEAR_ADDED_2024, new_col_202402 ,Unnamed: 0,mystery_2024_02_16,mystery_2024_02_45,mystery_2024_02_56
C27455,A-3752291,21/02/2024,-7692.18,"-7,692.18",EUR,In Review,SHJ,ملاحظة,ملاحظة,,Y24,m2,,,,
C64038,,2024-02-18,,not available,EUR,CANCELLED,  DXB,ملاحظة,ملاحظة,,Y24,13,,,x,
C35400,A-8757651,Feb-17-24,22999.35,22999.35,SAR,,AAN,ok,ok,,Y24,m2,,,,
C86192,A-3571239,05 February 2024,9624.18,9624.18,SAR,Closed,SHJ,ok,ok,,0,m2,,,,
C50996,A/84497,Feb-11-24,2725.45,not available,AED,Pending,DXB,,,,Y24,m2,,,,
C89540,A-8943355,2024-02-15,1447.88,1447.88,OMR,,AUH,ok,ok,,1,m2,,,,
C97022,A-1742843,08/02/2024,8122.801526756945,"8,104.94",GBP,,UAQ,,,,1,,,,x,
,A-4457576,Feb-16-24,12468.92,,SAR,,DXB,ok,ok,,Y24,,,,,
C55182,A/5567,2024-02-10,,968.97,USD,,SHJ,,,,,m2,,,,
C27088,A-2040925,2024-02-06,10073.56826467463,10033.08,SAR,CANCELLED,AUH,needs review,needs review,,Y24,m2,,,,
C10422,A-4230948,2024-02-28,9203.83,,GBP,,UAQ,needs review,needs review,,Y24,m2,,x,,
C16498,A-2765288,2024-02-01,22138.43,"22,138.43",USD,CANCELLED,UAQ,,,,Y24,m2,,,x,
,A-7065541,2024-02-28,not available,10101.48,AED,,  SHJ,,,,,m2,,,,
,A-7618742,21/02/2024,-386.37,-368.39,AED,Closed,SHJ,,,,1,m2,,x,x,
,A-8765397,22/02/2024,"29,536.25",29536.25,SAR,,  RAK,needs review,needs review,,0,,,,,
C78824,A-1133060,32/13/2023,13459.53,13459.53,SAR,CANCELLED,DXB,needs review,needs review,,Y24,m2,,,,
,A-4691308,09/02/2024,12577.71996698502,"12,567.13",SAR,CANCELLED,AUH,needs review,needs review,,Y24,m2,x,,,
C36033,A-1890387,,18972.41018790974,,OMR,Closed,RAK,ok,ok,,Y24,80,,,,
