,A-5816828,2024-06-16,"13,700.91",,SAR,In Review,SHJ,ok,ok,,Y24,m6,SAR,,,,,,
C62335,A-4225649,2024-06-15,1391.473168702433,,OMR,CANCELLED,RAK,needs review,needs review,x,1,m6,OMR,,,,,,
C29080,A-9310107,07/06/2024,17514.17173478683,,AED,Pending,AAN,needs review,needs review,x,Y24,56,AED,,,x,,,
,A-2678831,2024-06-09,14795.73,,EUR,Closed,DXB,,,,Y24,m6,EUR,,,,,,
C42202,A/54651,2024-06-11,,,GBP,In Review,RAK,ok,ok,,1,m6,gbp ,,,,,,
C41616,A-8009378,2024-06-17 00:00:00,(25284.28),junk,AED,,AAN,ok,ok,,1,m6,AED,,,,,,
,A-3102166,21 June 2024,6215.24,,SAR,In Review,UAQ,,,x,Y24,m6,SAR,,,x,,x,
C36229,A-1980804,2024-06-20,8968.38,junk,GBP,In Review,FJR,,,,1,,GBP,,,,,,x
C19955,A-6268913,2024-06-23,,,SAR,Pending,RAK,ملاحظة,ملاحظة,,0,,SAR,,,,,,
C39698,A-8744293,15/06/2024,18998.65,junk,USD,,UAQ,ok,ok,,Y24,,USD,,,,,,
C84813,A-5763690,07/06/2024,(10185.36),,AED,Pending,AAN,,,,0,m6,AED,,x,,,,
C87102,A-1890897,2024-06-18 00:00:00,"22,101.93",,EUR,CANCELLED,AAN,needs review,needs review,,1,,EUR,,,,,,
C85636,A-5051307,04/06/2024,227.79,,OMR,,AUH,needs review,needs review,,,m6,OMR,x,,,,,
C67582,A-3483880,2024-06-07,10879.49229699659,,EUR,Open,FJR,ok,ok,,Y24,25,EUR,,,,,,x
C90808,A-8428966,2024-06-22,8627.899449676717,,SAR,In Review,UAQ,,,,,m6,SAR,,x,,,,
C56276,A-4398213,2024-06-24,865.25,junk,EUR,CANCELLED,DXB,needs review,needs review,,1,m6,EUR,,x,,,,
C88279,A-5289589,,23785.84,,GBP,Closed,DXB,ok,ok,,Y24,,GBP,,,,,,
C96447,A-9371984,2024-06-26 00:00:00,27792.72,,OMR,Closed,DXB,ok,ok,,0,24,OMR,,,,,,
C18637,A/69997,Jun-12-24,3437.88,,EUR,,  FJR,ok,ok,,,,EUR,,,,,,
C62496,A-5762860,0000-00-00,24592.52,,OMR,Open,AUH,,,,Y24,,OMR,,,,,,
C38607,A/47596,,(5992.89),,SAR,Closed,UAQ,ok,ok,,Y24,,SAR,,,,,,
C53426,A-7897045,,4866.12,,USD,Pending,SHJ,!!!,!!!,,,m6,USD,,,,,,
C13816,A-8045047,2024-06-12,28659.22,,OMR,,RAK,needs review,needs review,,Y24,m6,OMR,,,,,,
C16307,A-1963428,0000-00-00,96.15,,EUR,Closed,FJR,,,,,,EUR,,,,,x,x
