clientnumber,A/C No.,Txn Date, amount (aed)  #,AMT, ISO_CURR  , Approval Status  ,REGION,Notes, REASON_TEXT  ,,year_added_2023,new_col_202302,Account ID,mystery_2023_02_12,mystery_2023_02_84,mystery_2023_02_29,mystery_2023_02_11,Unnamed: 0
C77726,A/21412,2023-02-23,5307.8,,EUR,CANCELLED,RAK,,,,,,A/21412,,,,,
,A-1759426,Feb-11-23,(19792.81),19792.81,USD,Closed,DXB,,,,Y23,m2,A-1759426,,,,,
C90387,A/9646,Feb-14-23,7355.82,7336.181969572109,AED,Open,UAQ,ok,ok,junk,,m2,A/9646,,,,,
C75753,A-4554960,Feb-20-23,(3841.80),-3841.8,OMR,Pending,AAN,needs review,needs review,,Y23,,A-4554960,,,,,
C70974,A-1621703,Feb-18-23,18672.43208358466,18618.95540849075,EUR,,AUH,,,,,11,A-1621703,,x,,,
C75870,A-6173167,2023-02-25,,23074.99,SAR,Pending,RAK,needs review,needs review,,Y23,m2,A-6173167,,,,,
C48277,A/53464,02 February 2023,28224.47,28224.47,USD,In Review,AUH,ملاحظة,ملاحظة,,0,m2,A/53464,,x,x,,
,A-8503297,2023-02-16 00:00:00,23832.74,,EUR,,RAK,,,,Y23,55,A-8503297,,,,,x
C23269,A-7154380,23 February 2023,"2,203.51",2203.51,EUR,,UAQ,ok,ok,junk,Y23,m2,A-7154380,,,,,
C81883,A/29248,32/13/2023,570.89,563.5634548199587,SAR,Closed,RAK,,,,Y23,19,A/29248,x,,x,,
C29923,A-8019571,12 February 2023,"-7,723.94",(7674.28),USD,,  SHJ,ok,ok,,,92,A-8019571,x,,x,,
C88520,A-4932148,Feb-05-23,29758.63063500599,not available,AED,,DXB,needs review,needs review,,Y23,23,A-4932148,,,,x,
C48136,A-6736101,06/02/2023,(3715.86),"3,715.86",SAR,Pending,RAK,!!!,!!!,,1,79,A-6736101,,,,,
C27033,A-8965399,32/13/2023,not available,-6568.43,OMR,,SHJ,,,,Y23,m2,A-8965399,x,,,,
C84798,A-9684628,2023-02-12,6666.18,6666.18,USD,CANCELLED,DXB,needs review,needs review,,Y23,m2,A-9684628,,x,,,
C58157,A-6433212,19 February 2023,3798.56,3798.56,SAR,CANCELLED,SHJ,ok,ok,,Y23,m2,A-6433212,,,,,
C88567,A/92691,2023-02-23,13497.26,13497.26,GBP,Open,AUH,,,,Y23,32,A/92691,,,,x,
C49641,A/98623,Feb-04-23,26639.72,26639.72,GBP,,  AAN,,,,,91,A/98623,,,,x,
C35603,A-7678371,17/02/2023,5465.37,5465.37,OMR,CANCELLED,SHJ,ok,ok,,Y23,m2,A-7678371,,,,,
C64093,A-5009091,2023-02-28,"5,709.88",5713.73,SAR,CANCELLED,RAK,ok,ok,,,m2,A-5009091,,x,x,,
C50693,A-1684935,19 February 2023,2681.31,2681.31,SAR,CANCELLED,SHJ,ملاحظة,ملاحظة,,0,,A-1684935,,x,,,
C27116,A/52667,Feb-14-23,,not available,AED,,RAK,ملاحظة,ملاحظة,,Y23,,A/52667,,,,,
C73305,A-5644273,Feb-17-23,"24,765.56",24765.56,OMR,Pending,RAK,ok,ok,,Y23,m2,A-5644273,,,,,
C63369,A-5826145,Feb-02-23,8923.6,(8923.60),EUR,In Review,  AUH,needs review,needs review,,1,10,A-5826145,,,,,x
C64045,A-1572911,01/02/2023,459.3162545573238,(445.48),EUR,Closed,RAK,ok,ok,junk,0,m2,A-1572911,,,,,
C17772,A/3899,2023-02-25,-1434.26,-1385.627558790285,EUR,Pending,RAK,ملاحظة,ملاحظة,,Y23,m2,A/3899,,,,x,
,A-5907920,Feb-08-23,22358.73,22355.871573515364,USD,In Review,AAN,ok,ok,,,62,A-5907920,,,,,
C21446,A-5953100,Feb-19-23,"-5,918.02",-5918.02,SAR,,RAK,!!!,!!!,,0,73,A-5953100,,,,,
C65836,A-9721958,14/02/2023,970.44,970.44,OMR,Pending,  AUH,needs review,needs review,junk,Y23,m2,A-9721958,,,,,
C31788,,12 February 2023,14572.87,14572.87,GBP,Pending,FJR,ok,ok,,,40,,,,,,
,A-2065279,Feb-22-23,21619.14858492839,,USD,Open,SHJ,!!!,!!!,,Y23,m2,A-2065279,,,x,,
,A-1816306,32/13/2023,,,USD,Pending,FJR,needs review,needs review,,Y23,21,A-1816306,,,,,
,A-7103717,21/02/2023,not available,24611.340959355108,GBP,Closed,UAQ,ملاحظة,ملاحظة,,,,A-7103717,,,,,
C45247,A-4235514,2023-02-06 00:00:00,not available,5174.06,SAR,,UAQ,ok,ok,,Y23,61,A-4235514,x,,,,
C35229,A-8318320,0000-00-00,,18220.46,OMR,,  UAQ,ok,ok,,Y23,,A-8318320,x,,,,x
C69362,,02/02/2023,(2495.75),(2500.79),EUR,Open,UAQ,ok,ok,,0,,,,,,,
C80294,A-5089291,19 February 2023,"-2,480.45",,SAR,CANCELLED,RAK,needs review,needs review,,Y23,,A-5089291,,,,,
C59916,A-6909290,2023-02-27,-7346.46,-7346.46,AED,,AAN,ملاحظة,ملاحظة,,Y23,,A-6909290,,,,,
C58875,A-3546554,2023-02-08,12015.63,12015.63,AED,CANCELLED,FJR,ملاحظة,ملاحظة,,Y23,m2,A-3546554,,,,x,
C50815,,24 February 2023,"26,447.86",26457.76377617818,USD,Open,AUH,needs review,needs review,,0,65,,,,,,
,A-3583353,20 February 2023,(25465.56),(25475.75),GBP,CANCELLED,AAN,needs review,needs review,,1,m2,A-3583353,x,,,,
C76646,A-6924466,25 February 2023,,-5689.29,USD,,FJR,ok,ok,,0,,A-6924466,,,,,
C73770,A-4893574,12/02/2023,-5837.93,,AED,Open,FJR,ok,ok,,Y23,m2,A-4893574,,,,,
C55713,A-9644067,0000-00-00,not available,,EUR,Closed,UAQ,,,,Y23,m2,A-9644067,,,,,
