C16931,A-4066178,12/03/2023,5366.44,,GBP,,DXB,ok,ok,,Y23,26,DXB,,,
C65941,A/59188,2023-03-22 00:00:00,3001.253075515923,,EUR,Pending,RAK,ok,ok,,,m3,RAK,,,
C65232,A-7181903,2023-03-03,21879.95,,EUR,CANCELLED,SHJ,ok,ok,,1,m3,SHJ,,,
C23329,A-3973042,Mar-26-23,,x,OMR,,UAQ,needs review,needs review,,0,,UAQ,,,
,A-3463124,23/03/2023,-478.3092956277615,,omr ,CANCELLED,AAN,needs review,needs review,,,13,AAN,,,
C38414,A-9546880,2023-03-28,23384.27995394148,,SAR,,AUH,!!!,!!!,,,m3,AUH,,x,
C17732,A-3070330,01/03/2023,-568.41,,AED,Open,SHJ,ok,ok,,1,,SHJ,,,
C89619,A-2637511,27/03/2023,,,OMR,,AAN,needs review,needs review,,,31,AAN,,,
C50378,A-8009030,08/03/2023,"1,236.19",,USD,Pending,AAN,ok,ok,,,,AAN,,,
C36891,A-5208746,10/03/2023,-4340.76,,GBP,,UAQ,needs review,needs review,,1,,UAQ,,,x
