buyer_id,a/c no.,Date, txn_value  ,amount (AED),,APPRV_STATE,Area,remarks,REMARKS (v2),,year_added_2023, new_col_202304 , state  ,mystery_2023_04_85,mystery_2023_04_74,mystery_2023_04_96,Unnamed: 0
C94751,A-8585731,22/04/2023,17930.64,17959.68718807566,,CANCELLED,FJR,needs review,needs review,,,m4,CANCELLED,,x,,
C84559,A-8798571,Apr-23-23,-3675.7902592720643,-3703.82,,Open,SHJ,ok,ok,,Y23,m4,Open,,,x,
C26921,A-4793035,Apr-11-23,24097.92,24097.92,,Closed,AUH,ملاحظة,ملاحظة,,,,Closed,,,,
C69679,,14 April 2023,24806.59,24806.59,junk,In Review,UAQ,needs review,needs review,,Y23,,In Review,,,,
C60913,A-8302374,Apr-11-23,7746.51,,,Closed,FJR,ok,ok,,Y23,m4,Closed,,,x,
C98719,A-1538060,17/04/2023,9871.40643123977,,,,  RAK,ok,ok,,,,,,x,,x
C10003,A-7316627,2023-04-04,2758.61,,,CANCELLED,  AUH,ok,ok,,Y23,m4,CANCELLED,,,,
C64022,A-2912163,32/13/2023,-6974.822735753651,,,Closed,AUH,ok,ok,,Y23,64,Closed,,,,
C61189,A-8519643,28 April 2023,25932.51,25932.51,,Closed,AAN,ok,ok,,0,14,Closed,,,,
C97504,,2023-04-03,-7244.83,-7244.83,,Closed,DXB,needs review,needs review,,0,29,Closed,,,,
C54113,A-6756947,2023-04-05,22819.45,22819.45,,CANCELLED,AAN,!!!,!!!,,1,m4,CANCELLED,,,x,
C46040,A-2120216,Apr-08-23,18459.88,"18,415.55",,Open,AUH,needs review,needs review,,0,m4,Open,x,,x,
C69635,A-4535927,2023-04-24,14166,14125.72971192903,,Pending,FJR,ok,ok,,,m4,Pending,,x,,
C74922,A-6790674,05/04/2023,27470.11,27470.11,junk,In Review,DXB,ok,ok,,,m4,In Review,,,,x
C15957,A-8686369,32/13/2023,,14485.88,,In Review,AUH,needs review,needs review,,Y23,m4,In Review,,,x,
,A-2786308,19/04/2023,,-6489.3,,Closed,AUH,,,,Y23,m4,Closed,x,,,
C58884,A-3246577,2023-04-28,"6,310.09",6310.09,,Closed,SHJ,,,,0,m4,Closed,x,,,
C31142,A-2361191,14 April 2023,16009.0,16009,junk,Open,AUH,ملاحظة,ملاحظة,,,m4,Open,,,x,
C13721,A/94666,10/04/2023,11032.648492488115,"11,036.74",junk,CANCELLED,AUH,ok,ok,,Y23,,CANCELLED,,,,
C48749,A-4346260,Apr-26-23,16075.79,16107.77939026774,,Pending,FJR,!!!,!!!,junk,,m4,Pending,,x,,
