IDs,IDs,Dates,Amounts,Amounts,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta
,A-8111615,0000-00-00,24100.16547757959,24087.2,USD,Closed,AUH,!!!,!!!,,Y22,72,!!!,,
C92781,A-7006716,,9510.938923779853,,OMR,Open,DXB,,,,Y22,,,,
C97462,A-9263516,2022-08-20,4826.243777460213,4845.67,USD,,DXB,ملاحظة,ملاحظة,,0,,ملاحظة,x,
,A-1299338,05/08/2022,12382.41,"12,382.41",OMR,Open,AUH,needs review,needs review,,Y22,,needs review,,
C67841,A-5798945,2022-08-03,not available,24791.63,OMR,CANCELLED,UAQ,ok,ok,,Y22,m8,ok,,
C47155,A-6741230,2022-08-25 00:00:00,-5733.44,-5756.971835558461,SAR,Open,AUH,ok,ok,,Y22,m8,ok,,
C66929,,26 August 2022,-2480.913891072947,-2477.52,GBP,Open,FJR,,,,Y22,m8,,,
C76335,A-7147386,2022-08-07,3554.440050590563,"3,590.13",SAR,,FJR,ok,ok,,0,,ok,,x
C62785,A-5901647,32/13/2023,(17491.11),17491.11,USD,Open,UAQ,!!!,!!!,,0,,!!!,,
C45230,A-4170406,2022-08-16 00:00:00,(8538.38),"8,538.38",SAR,Closed,SHJ,,,,Y22,,,,
C50378,A-1927303,,-5792.34,-5792.34,USD,,  UAQ,,,,1,,,,
C78516,A-7220831,01 August 2022,,21592.5,SAR,Open,AAN,ok,ok,,Y22,m8,ok,,x
C80876,A/89967,08/08/2022,not available,25.49,OMR,In Review,UAQ,ok,ok,junk,Y22,m8,ok,,
C66929,A-2095282,26/08/2022,10602.9,10602.9,GBP,,RAK,needs review,needs review,,Y22,,needs review,,
C76237,A/53047,2022-08-27,8833.45,,SAR,Pending,UAQ,,,,Y22,m8,,,
C26247,A-1935880,,-897.65,-897.65,OMR,Open,UAQ,ok,ok,junk,,,ok,,
C74002,A-4878595,2022-08-15,,(24140.46),AED,,  AUH,ok,ok,,0,,ok,,
C34055,A-2852620,17 August 2022,,(14861.46),OMR,In Review,AAN,ملاحظة,ملاحظة,,0,m8,ملاحظة,,
C74213,A-2928114,,-5527.22,-5527.22,EUR,,  AUH,,,,,55,,,
C26364,A-3540683,2022-08-09,(20511.23),20511.23,EUR,,DXB,needs review,needs review,,,26,needs review,,
C76850,A-6357858,2022-08-27 00:00:00,"11,505.82",11505.82,EUR,CANCELLED,AAN,,,,Y22,m8,,,x
