,A-8041122,12/07/2022,,"7,747.93",USD,,AAN,,,,0,,,,x,,,,
C35330,A-4754806,2022-07-22,,24497.61,GBP,CANCELLED,FJR,,,junk,,45,CANCELLED,,,,x,,
C73457,A-2021244,2022-07-07,not available,2008.39,USD,CANCELLED,DXB,ملاحظة,ملاحظة,,,m7,CANCELLED,,,,,,
C45435,A-9466429,2022-07-17,"24,992.25",24974.47633826292,OMR,CANCELLED,AAN,,,,,m7,CANCELLED,,,x,x,,x
C63983,A-4358757,10/07/2022,-749.58,(710.05),GBP,,DXB,,,,Y22,,,,,,,,
C20683,A-8662140,2022-07-19 00:00:00,2955.93,2955.93,EUR,,UAQ,needs review,needs review,,1,,,,x,x,,,
C23640,A-2237273,2022-07-12 00:00:00,,25812.26,GBP,CANCELLED,FJR,ok,ok,junk,Y22,,CANCELLED,,,,,,x
C99726,A-3655413,2022-07-22,25287.07798769399,,OMR,Open,SHJ,,,,Y22,,Open,,,,,,
C96405,A-6519411,32/13/2023,,25127.64190665197,AED,Open,SHJ,,,,Y22,64,Open,,x,x,,,
,,2022-07-10,,9773.333205312345,GBP,CANCELLED,SHJ,,,,Y22,39,CANCELLED,,,,,x,
C51702,A-5976783,2022-07-17,12477.64,,SAR,,DXB,,,,1,m7,,,,,,,
C85484,A-9154602,2022-07-13,-4035.57,-4035.57,USD,CANCELLED,DXB,ok,ok,,Y22,,CANCELLED,x,,,,,
,A-7350979,,764.81,764.81,OMR,In Review,  RAK,!!!,!!!,junk,1,54,In Review,,,,,,
C90899,,07 July 2022,26002.25,25970.94944022811,USD,,AUH,,,,Y22,,,,,,,,
C18266,A-8014476,17 July 2022,24828.8112786506,24856.5,GBP,CANCELLED,DXB,!!!,!!!,,0,m7,CANCELLED,,,,,,
C39514,A/45113,12 July 2022,,23864.42,OMR,Closed,FJR,,,junk,,m7,Closed,,,,,,
C69855,A-6722514,11 July 2022,,-1967.8,GBP,,SHJ,,,,Y22,,,,x,,,,
C41721,A-8848508,13 July 2022,,,GBP,Pending,SHJ,ملاحظة,ملاحظة,,,46,Pending,,,,,,
C24100,A-1489989,22 July 2022,-6985.868740405857,-6973.74,AED,,UAQ,,,,Y22,94,,,,,x,,
C58382,A-1951218,2022-07-17,"25,428.21",25477.92,USD,,AAN,ok,ok,,1,79,,,,x,,,
C48760,A-3015406,2022-07-27,not available,21782.96,OMR,,AAN,,,,Y22,m7,,,,,,,
C69831,A-6146710,Jul-13-22,-4983.14418597223,-5017.27,OMR,Open,AUH,ok,ok,,Y22,m7,Open,,,,,,
C27657,A/93889,2022-07-20 00:00:00,,21983.77,USD,Open,FJR,ok,ok,,Y22,m7,Open,,,,,,
C76233,A-1379495,2022-07-20 00:00:00,-1024.35,-1024.35,OMR,Closed,SHJ,needs review,needs review,,0,,Closed,,,,,,
C71109,A-5620133,2022-07-26,8444.91,8472.005547422463,sar ,Open,SHJ,ok,ok,,,,Open,,,x,,x,
,A/16375,04/07/2022,-400.0544055398182,-437.86,OMR,Open,DXB,needs review,needs review,junk,,m7,Open,,,,,,
C75075,A-4496212,,3949.18,,USD,,RAK,needs review,needs review,,Y22,m7,,,,x,,,
C32380,A-3396767,27/07/2022,-5298.55,(5298.55),EUR,Open,UAQ,ok,ok,,1,m7,Open,,,,,,
C49153,A-8169518,02 July 2022,(27522.50),27553.09,OMR,,DXB,,,,,m7,,,,,x,,
C22074,A-1872218,2022-07-28 00:00:00,28543.36,,OMR,Closed,UAQ,ok,ok,junk,,m7,Closed,,,,,,
C27051,A-4897435,06 July 2022,5007.37,5007.37,EUR,Closed,DXB,needs review,needs review,,0,m7,Closed,,,,,,x
C25880,A-7063438,06/07/2022,22099.01050575199,22116.77,EUR,Pending,  RAK,needs review,needs review,,Y22,71,Pending,,,,,,
C93902,A-1775191,Jul-08-22,-2347.58,-2347.58,SAR,CANCELLED,RAK,ok,ok,,1,m7,CANCELLED,,,,,,
C51271,A-9167729,,11723.334011844177,11738.25,AED,Pending,UAQ,needs review,needs review,,0,,Pending,,,,,,
C75840,A-1288837,Jul-18-22,2562.0109586284534,"2,550.38",SAR,Closed,  AUH,ok,ok,,,m7,Closed,,,,,,
C10264,A-7116199,Jul-10-22,14097.26,(14097.26),OMR,,UAQ,needs review,needs review,,1,m7,,,,,,x,
,A-8648346,Jul-23-22,"9,931.30",(9906.55),USD,,AAN,ok,ok,,,m7,,,,,,,
C60286,A/34370,21/07/2022,-3239.39,,SAR,Open,FJR,ok,ok,,,71,Open,,,x,,,
